factor_id,layer,second_level,factor_name,event_or_factor,impact_path,affected_entities,direction_rule,time_horizon,data_sources,data_availability,proxy_variables,lag_days,confidence_default,backtestable,compliance_flag,trade_usage,ai_role,quantifiability,backtest_value,notes,source_file,source_section,taxonomy_version
company_events_factor_ak,经营与公司事件层,毛利与产品结构,毛利率下降,event,价格战、成本上涨或产品低端化,所有公司,see impact_path,,,A,,,,true,public_data,factor_signal,低,高,高,周期行业要结合商品价格,股价影响因素全景表v2.0.md,1.11,v2.0
company_events_factor_al,经营与公司事件层,毛利与产品结构,高端产品占比提升,event,利润率和估值中枢改善,制造、消费、医药、科技,see impact_path,,,B/D,,,,partial,public_data,factor_signal,高,中,中,需要文本抽取业务结构,股价影响因素全景表v2.0.md,1.12,v2.0
company_events_factor_am,经营与公司事件层,费用与效率,销售费用率上升,event,获客成本上升或扩张投入,消费、互联网、医药,see impact_path,,,A,,,,partial,public_data,factor_signal,中,中,中,扩张期不一定是坏事,股价影响因素全景表v2.0.md,1.13,v2.0
company_events_factor_an,经营与公司事件层,费用与效率,管理费用率上升,event,经营效率下降,所有公司,see impact_path,,,A,,,,partial,public_data,factor_signal,低,中,中,需要同行对比,股价影响因素全景表v2.0.md,1.14,v2.0
company_events_factor_ao,经营与公司事件层,费用与效率,研发投入增加,event,长期竞争力可能提升,科技、医药、高端制造,see impact_path,,,A,,,,partial,public_data,factor_signal,中,中,中,研发转化率更重要,股价影响因素全景表v2.0.md,1.15,v2.0
company_events_factor_ap,经营与公司事件层,现金流与营运资本,经营现金流改善,event,利润质量提高,所有公司,see impact_path,,财报、半年报、年报,A,,,,true,public_data,factor_signal,低,高,高,比净利润更能反映质量,股价影响因素全景表v2.0.md,1.16,v2.0
company_events_factor_aq,经营与公司事件层,现金流与营运资本,经营现金流恶化,event,回款变差、库存积压、利润虚弱,所有公司,see impact_path,,财报、半年报、年报,A,,,,true,public_data,factor_signal,低,高,高,结合应收、存货、预付款,股价影响因素全景表v2.0.md,1.17,v2.0
company_events_factor_ar,经营与公司事件层,现金流与营运资本,应收账款大增,event,客户付款能力下降或收入质量差,工程、地产链、制造,see impact_path,,财报、半年报、年报,A,,,,true,public_data,factor_signal,低,高,高,收入增长但应收大增要警惕,股价影响因素全景表v2.0.md,1.18,v2.0
company_events_factor_as,经营与公司事件层,现金流与营运资本,存货大增,event,销售不畅或主动备货,制造、消费、周期,see impact_path,,财报、半年报、年报,A,,,,true,public_data,factor_signal,低,高,高,要区分主动补库和滞销,股价影响因素全景表v2.0.md,1.19,v2.0
company_events_factor_at,经营与公司事件层,资产负债与融资,资产负债率上升,event,财务风险提高,高杠杆行业,see impact_path,,财报、债券公告、公司公告,A,,,,true,public_data,factor_signal,低,高,高,地产、银行、周期行业需单独建模,股价影响因素全景表v2.0.md,1.20,v2.0
company_events_factor_au,经营与公司事件层,资产负债与融资,短债压力上升,event,再融资压力和违约风险上升,地产、城投链、民企,see impact_path,,财报、债券公告、公司公告,A/B,,,,true,public_data,factor_signal,中,高,高,现金短债比很关键,股价影响因素全景表v2.0.md,1.21,v2.0
company_events_factor_av,经营与公司事件层,资产负债与融资,利息费用上升,event,净利润下降,高负债公司,see impact_path,,财报、债券公告、公司公告,A/B,,,,true,public_data,factor_signal,低,高,高,与利率周期相关,股价影响因素全景表v2.0.md,1.22,v2.0
company_events_factor_aw,经营与公司事件层,资产负债与融资,股权质押比例高,event,股价下跌可能触发平仓风险,民企、小盘股,see impact_path,,财报、债券公告、公司公告,A/B,,,,partial,public_data,factor_signal,中,高,中,更适合做风险过滤器,股价影响因素全景表v2.0.md,1.23,v2.0
company_events_factor_ax,经营与公司事件层,资产质量,商誉减值,event,利润暴雷、并购失败,并购型公司,see impact_path,,,A/C,,,,partial,public_data,factor_signal,高,中,中,常在年报季出现,股价影响因素全景表v2.0.md,1.24,v2.0
company_events_factor_ay,经营与公司事件层,资产质量,资产减值,event,利润下滑、资产质量恶化,周期、地产、制造,see impact_path,,,A/C,,,,partial,public_data,factor_signal,高,中,中,一次性出清和持续恶化要区分,股价影响因素全景表v2.0.md,1.25,v2.0
company_events_factor_az,经营与公司事件层,资本回报,分红提高,event,股东回报增强，红利风格受益,成熟企业、央国企,see impact_path,,,A,,,,true,public_data,factor_signal,低,高,高,更适合中长期策略,股价影响因素全景表v2.0.md,1.26,v2.0
company_events_factor_ba,经营与公司事件层,资本回报,回购股份,event,信心增强，股票供给减少,成熟公司、低估公司,see impact_path,,,A,,,,partial,public_data,factor_signal,中,中,中,要看执行金额而非只看公告,股价影响因素全景表v2.0.md,1.27,v2.0
company_events_factor_bb,经营与公司事件层,公司治理,高管变动,event,战略、治理、风险预期变化,所有公司,see impact_path,,,A/C,,,,partial,public_data,factor_signal,高,低,中,正常换届和异常离职要区分,股价影响因素全景表v2.0.md,1.28,v2.0
company_events_factor_bc,经营与公司事件层,公司治理,财务造假 / 信披违规,event,信任崩塌，估值体系重置,所有公司,see impact_path,,,A/C,,,,true,public_data,risk_filter,高,中,高,风险因子价值很高,股价影响因素全景表v2.0.md,1.29,v2.0
company_events_factor_bd,经营与公司事件层,公司治理,重大诉讼 / 仲裁,event,赔偿、冻结、声誉风险,所有公司,see impact_path,,,A/C,,,,partial,public_data,factor_signal,高,中,中,看金额占净资产比例,股价影响因素全景表v2.0.md,1.30,v2.0
industry_chain_prices_factor_aa,行业供需与产业链价格层,上游资源供给,原材料价格上涨,factor,成本上升 → 毛利率下降,制造、钢铁、化工、食品,see impact_path,,海关、行业新闻、期货、部委通报,A,,,,true,public_data,factor_signal,低,高,高,对原料卖方可能是利好,股价影响因素全景表v2.0.md,2.1,v2.0
industry_chain_prices_factor_ab,行业供需与产业链价格层,上游资源供给,原材料价格下降,factor,成本下降 → 利润率改善,原料买方,see impact_path,,海关、行业新闻、期货、部委通报,A,,,,true,public_data,factor_signal,低,高,高,对资源企业可能是利空,股价影响因素全景表v2.0.md,2.2,v2.0
industry_chain_prices_factor_ac,行业供需与产业链价格层,上游资源供给,矿山/工厂停产,event,供给减少 → 原料涨价,资源、制造链,see impact_path,,海关、行业新闻、期货、部委通报,C,,,,partial,public_data,factor_signal,高,中,中,判断停产规模和持续时间,股价影响因素全景表v2.0.md,2.3,v2.0
industry_chain_prices_factor_ad,行业供需与产业链价格层,上游资源供给,新矿/新产能投放,event,供给增加 → 原料降价,资源、周期行业,see impact_path,,海关、行业新闻、期货、部委通报,C/D,,,,partial,public_data,factor_signal,高,中,中,投产周期可能很长,股价影响因素全景表v2.0.md,2.4,v2.0
industry_chain_prices_factor_ae,行业供需与产业链价格层,中游产量与开工,开工率上升,factor,需求改善或利润修复,周期、制造,see impact_path,,统计局、协会、行业数据,B/C,,,,true,public_data,factor_signal,中,高,高,公开数据行业差异大,股价影响因素全景表v2.0.md,2.5,v2.0
industry_chain_prices_factor_af,行业供需与产业链价格层,中游产量与开工,开工率下降,factor,需求疲弱或限产,周期、制造,see impact_path,,统计局、协会、行业数据,B/C,,,,true,public_data,factor_signal,中,高,高,需区分主动限产和被动停产,股价影响因素全景表v2.0.md,2.6,v2.0
industry_chain_prices_factor_ag,行业供需与产业链价格层,中游产量与开工,检修增加,factor,短期供给减少,化工、钢铁、能源,see impact_path,,统计局、协会、行业数据,C,,,,partial,public_data,factor_signal,高,中,中,关注检修规模和时间,股价影响因素全景表v2.0.md,2.7,v2.0
industry_chain_prices_factor_ah,行业供需与产业链价格层,下游需求,房地产新开工下降,factor,建材需求下降,钢铁、水泥、玻璃、家电,see impact_path,,统计局、部委、行业月报,A/B,,,,true,public_data,factor_signal,中,高,高,对地产链影响大,股价影响因素全景表v2.0.md,2.8,v2.0
industry_chain_prices_factor_ai,行业供需与产业链价格层,下游需求,基建投资加速,factor,工程需求改善,基建、建材、工程机械,see impact_path,,统计局、部委、行业月报,A/B,,,,true,public_data,factor_signal,中,高,高,政策预期常提前反应,股价影响因素全景表v2.0.md,2.9,v2.0
industry_chain_prices_factor_aj,行业供需与产业链价格层,下游需求,汽车销量增长,factor,零部件、板材、电子、锂电受益,汽车链,see impact_path,,统计局、部委、行业月报,A/B,,,,true,public_data,factor_signal,中,高,高,区分燃油车和新能源车,股价影响因素全景表v2.0.md,2.10,v2.0
industry_chain_prices_factor_ak,行业供需与产业链价格层,下游需求,消费需求下降,factor,收入和库存压力,消费、零售、食品饮料,see impact_path,,统计局、部委、行业月报,A/C,,,,partial,public_data,factor_signal,高,中,中,可用社零、搜索、价格代理,股价影响因素全景表v2.0.md,2.11,v2.0
industry_chain_prices_factor_al,行业供需与产业链价格层,出口需求,海外订单增长,factor,收入增长、产能利用率提升,外向型制造,see impact_path,,,B/C,,,,partial,public_data,factor_signal,高,中,中,汇率和关税一起看,股价影响因素全景表v2.0.md,2.12,v2.0
industry_chain_prices_factor_am,行业供需与产业链价格层,出口需求,海外订单下降,factor,收入下滑、库存压力增加,外贸链,see impact_path,,,B/C/D,,,,partial,public_data,factor_signal,高,中,中,直接订单常拿不到,股价影响因素全景表v2.0.md,2.13,v2.0
industry_chain_prices_factor_an,行业供需与产业链价格层,库存周期,行业库存低,factor,价格弹性上升,周期品、消费品,see impact_path,,,B/C,,,,true,public_data,factor_signal,中,中,高,低库存 + 需求改善最强,股价影响因素全景表v2.0.md,2.14,v2.0
industry_chain_prices_factor_ao,行业供需与产业链价格层,库存周期,行业库存高,factor,价格承压,周期品、消费品,see impact_path,,,B/C,,,,true,public_data,factor_signal,中,中,高,库存高但需求爆发时也可能反转,股价影响因素全景表v2.0.md,2.15,v2.0
industry_chain_prices_factor_ap,行业供需与产业链价格层,库存周期,主动补库存,factor,企业预期改善,周期、制造、消费,see impact_path,,,B/D,,,,partial,public_data,factor_signal,中,中,中,需价格、产量、库存组合判断,股价影响因素全景表v2.0.md,2.16,v2.0
industry_chain_prices_factor_aq,行业供需与产业链价格层,库存周期,主动去库存,factor,企业保守，需求偏弱,周期、制造、消费,see impact_path,,,B/D,,,,partial,public_data,factor_signal,中,中,中,可能也是底部前兆,股价影响因素全景表v2.0.md,2.17,v2.0
industry_chain_prices_factor_ar,行业供需与产业链价格层,产能周期,行业扩产,factor,未来供给增加，价格压力上升,光伏、锂电、化工、钢铁,see impact_path,,,C/D,,,,true,public_data,factor_signal,高,中,高,产能过剩会杀估值,股价影响因素全景表v2.0.md,2.18,v2.0
industry_chain_prices_factor_as,行业供需与产业链价格层,产能周期,行业出清,factor,竞争缓和，利润改善,周期、制造,see impact_path,,,C/D,,,,partial,public_data,factor_signal,高,中,中,破产、停产、亏损企业退出,股价影响因素全景表v2.0.md,2.19,v2.0
industry_chain_prices_factor_at,行业供需与产业链价格层,产品价格,产品现货价上涨,factor,收入和利润弹性提升,周期、资源、化工,see impact_path,,,A/B,,,,true,public_data,factor_signal,低,高,高,要配合库存和成本,股价影响因素全景表v2.0.md,2.20,v2.0
industry_chain_prices_factor_au,行业供需与产业链价格层,产品价格,产品现货价下跌,factor,利润承压,周期、资源、化工,see impact_path,,,A/B,,,,true,public_data,factor_signal,低,高,高,对下游可能利好,股价影响因素全景表v2.0.md,2.21,v2.0
industry_chain_prices_factor_av,行业供需与产业链价格层,跨品种价差,成品-原料价差扩大,factor,利润空间改善,加工型企业,see impact_path,,,A/B,,,,true,public_data,factor_signal,低,高,高,比单品价格更贴近利润,股价影响因素全景表v2.0.md,2.22,v2.0
industry_chain_prices_factor_aw,行业供需与产业链价格层,跨品种价差,成品-原料价差收窄,factor,利润空间被压缩,加工型企业,see impact_path,,,A/B,,,,true,public_data,factor_signal,低,高,高,价差模型需行业定制,股价影响因素全景表v2.0.md,2.23,v2.0
industry_chain_prices_factor_ax,行业供需与产业链价格层,竞争格局,价格战,factor,毛利率下降,电商、汽车、光伏、消费,see impact_path,,,C,,,,true,public_data,factor_signal,高,中,高,短期刺激销量，长期伤利润,股价影响因素全景表v2.0.md,2.24,v2.0
industry_chain_prices_factor_ay,行业供需与产业链价格层,竞争格局,行业集中度提升,factor,龙头议价力增强,多数行业,see impact_path,,,B/D,,,,partial,public_data,factor_signal,中,中,中,龙头和小企业影响相反,股价影响因素全景表v2.0.md,2.25,v2.0
industry_chain_prices_factor_az,行业供需与产业链价格层,替代品,替代技术出现,factor,旧公司估值下降，新公司受益,科技、能源、材料,see impact_path,,,C/D,,,,partial,public_data,factor_signal,高,低,中,时间跨度长，容易炒作过度,股价影响因素全景表v2.0.md,2.26,v2.0
industry_chain_prices_factor_ba,行业供需与产业链价格层,国产替代,进口受限 / 国产替代加速,factor,国内供应商份额提升,半导体、软件、高端制造,see impact_path,,,C/D,,,,partial,restricted,observe_only,高,中,中,真假国产替代要分清,股价影响因素全景表v2.0.md,2.27,v2.0
industry_chain_prices_factor_bb,行业供需与产业链价格层,供应链风险,关键零部件短缺,factor,产能受限，交付延迟,汽车、电子、设备,see impact_path,,,C/D,,,,partial,public_data,factor_signal,高,中,中,从新闻、公告、交付周期判断,股价影响因素全景表v2.0.md,2.28,v2.0
industry_chain_prices_factor_bc,行业供需与产业链价格层,供应链恢复,供应链瓶颈缓解,factor,产量恢复，成本下降,制造业,see impact_path,,,C/D,,,,partial,public_data,factor_signal,高,中,中,利好可能已提前定价,股价影响因素全景表v2.0.md,2.29,v2.0
industry_chain_prices_factor_bd,行业供需与产业链价格层,技术迭代,产品代际升级,factor,龙头受益，落后者受损,科技、医药、制造,see impact_path,,,C/D,,,,partial,public_data,factor_signal,高,中,中,需要技术理解，AI 只辅助,股价影响因素全景表v2.0.md,2.30,v2.0
macro_policy_international_factor_aa,宏观流动性与政策国际层,宏观景气,GDP 增速变化,event,总需求和盈利预期变化,全市场,see impact_path,,国家统计局 National Data,A,,,,partial,public_data,factor_signal,低,高,中,GDP 和股市不一一对应,股价影响因素全景表v2.0.md,3.1,v2.0
macro_policy_international_factor_ab,宏观流动性与政策国际层,宏观景气,PMI 上升,event,制造业订单改善,周期、制造,see impact_path,,国家统计局 National Data,A,,,,true,public_data,factor_signal,低,高,高,PMI 是相对及时的宏观指标,股价影响因素全景表v2.0.md,3.2,v2.0
macro_policy_international_factor_ac,宏观流动性与政策国际层,宏观景气,PMI 下降,event,工业需求转弱,周期、制造,see impact_path,,国家统计局 National Data,A,,,,true,public_data,factor_signal,低,高,高,要看是否低于荣枯线,股价影响因素全景表v2.0.md,3.3,v2.0
macro_policy_international_factor_ad,宏观流动性与政策国际层,通胀,CPI 上升,event,消费能力、利率预期变化,消费、债务企业、全市场,see impact_path,,,A,,,,partial,public_data,factor_signal,低,高,中,温和通胀和恶性通胀不同,股价影响因素全景表v2.0.md,3.4,v2.0
macro_policy_international_factor_ae,宏观流动性与政策国际层,通胀,PPI 上升,event,上游利润改善，下游成本上升,周期、制造,see impact_path,,,A,,,,true,public_data,factor_signal,低,高,高,对周期股重要,股价影响因素全景表v2.0.md,3.5,v2.0
macro_policy_international_factor_af,宏观流动性与政策国际层,通胀,PPI 下行,event,工业品价格承压,周期、制造,see impact_path,,,A,,,,true,public_data,factor_signal,低,高,高,可能意味着需求弱或成本降,股价影响因素全景表v2.0.md,3.6,v2.0
macro_policy_international_factor_ag,宏观流动性与政策国际层,货币流动性,降息,event,估值提升、融资成本下降,成长股、高负债企业,see impact_path,,,A,,,,true,public_data,factor_signal,低,高,高,也可能反映经济压力,股价影响因素全景表v2.0.md,3.7,v2.0
macro_policy_international_factor_ah,宏观流动性与政策国际层,货币流动性,加息,event,估值压缩、融资成本上升,成长股、高负债企业,see impact_path,,,A,,,,true,public_data,factor_signal,低,高,高,银行短期可能受益,股价影响因素全景表v2.0.md,3.8,v2.0
macro_policy_international_factor_ai,宏观流动性与政策国际层,货币流动性,降准,event,银行体系流动性增加,银行、地产、全市场,see impact_path,,,A,,,,true,public_data,factor_signal,低,高,高,取决于信贷是否能扩张,股价影响因素全景表v2.0.md,3.9,v2.0
macro_policy_international_factor_aj,宏观流动性与政策国际层,货币流动性,社融增长,event,信用扩张，风险偏好改善,全市场、地产、金融,see impact_path,,,A,,,,true,public_data,factor_signal,低,高,高,常领先盈利周期,股价影响因素全景表v2.0.md,3.10,v2.0
macro_policy_international_factor_ak,宏观流动性与政策国际层,货币流动性,企业中长期贷款改善,event,投资需求增强,基建、制造、银行,see impact_path,,,A,,,,true,public_data,factor_signal,低,高,高,拆分居民和企业贷款,股价影响因素全景表v2.0.md,3.11,v2.0
macro_policy_international_factor_al,宏观流动性与政策国际层,财政政策,专项债 / 基建刺激,event,基建需求改善,基建、建材、工程机械,see impact_path,,,A/C,,,,true,public_data,factor_signal,高,中,高,政策落地强度比口号重要,股价影响因素全景表v2.0.md,3.12,v2.0
macro_policy_international_factor_am,宏观流动性与政策国际层,财政政策,地方债化债,event,金融风险缓释,银行、城投链、地产链,see impact_path,,,A/C,,,,partial,public_data,factor_signal,高,中,中,影响风险偏好和信用预期,股价影响因素全景表v2.0.md,3.13,v2.0
macro_policy_international_factor_an,宏观流动性与政策国际层,房地产政策,限购放松 / 信贷放松,event,地产链需求改善,地产、银行、建材、家电,see impact_path,,,A/C,,,,true,public_data,factor_signal,高,中,高,是否带来销售改善是关键,股价影响因素全景表v2.0.md,3.14,v2.0
macro_policy_international_factor_ao,宏观流动性与政策国际层,消费政策,消费券 / 以旧换新,event,消费品销量改善,家电、汽车、零售,see impact_path,,,A/C,,,,partial,public_data,factor_signal,高,中,中,可能透支未来需求,股价影响因素全景表v2.0.md,3.15,v2.0
macro_policy_international_factor_ap,宏观流动性与政策国际层,产业政策,新能源补贴,event,行业需求提升,新能源车、光伏、储能,see impact_path,,,A/C,,,,true,public_data,factor_signal,高,中,高,补贴退坡也会形成利空,股价影响因素全景表v2.0.md,3.16,v2.0
macro_policy_international_factor_aq,宏观流动性与政策国际层,产业政策,医药集采,event,产品降价，利润率下降,医药、器械,see impact_path,,,A/C,,,,true,public_data,factor_signal,高,中,高,创新药和仿制药影响不同,股价影响因素全景表v2.0.md,3.17,v2.0
macro_policy_international_factor_ar,宏观流动性与政策国际层,产业政策,游戏版号,event,收入预期改善或受限,游戏、传媒,see impact_path,,,A/C,,,,partial,public_data,factor_signal,高,中,中,事件驱动强,股价影响因素全景表v2.0.md,3.18,v2.0
macro_policy_international_factor_as,宏观流动性与政策国际层,产业政策,环保限产,event,供给下降或公司产能受限,钢铁、水泥、化工,see impact_path,,,C,,,,true,public_data,factor_signal,高,中,高,限行业利好，限公司利空,股价影响因素全景表v2.0.md,3.19,v2.0
macro_policy_international_factor_at,宏观流动性与政策国际层,产业政策,安全生产检查,event,停产、供给收缩、成本上升,煤炭、化工、矿山,see impact_path,,,C,,,,partial,public_data,factor_signal,高,中,中,需区域和产能映射,股价影响因素全景表v2.0.md,3.20,v2.0
macro_policy_international_factor_au,宏观流动性与政策国际层,汇率,人民币贬值,event,出口受益、进口成本上升,出口链、航空、资源进口,see impact_path,,,A,,,,true,public_data,factor_signal,低,高,高,还影响外资流向,股价影响因素全景表v2.0.md,3.21,v2.0
macro_policy_international_factor_av,宏观流动性与政策国际层,汇率,人民币升值,event,进口成本下降、出口压力上升,航空、资源进口、出口链,see impact_path,,,A,,,,true,public_data,factor_signal,低,高,高,对市场风险偏好也有影响,股价影响因素全景表v2.0.md,3.22,v2.0
macro_policy_international_factor_aw,宏观流动性与政策国际层,利率,国债收益率上升,event,估值压缩，红利吸引力变化,全市场、成长股、红利股,see impact_path,,,A,,,,true,public_data,factor_signal,低,高,高,和风险偏好相关,股价影响因素全景表v2.0.md,3.23,v2.0
macro_policy_international_factor_ax,宏观流动性与政策国际层,国际贸易,关税上升,event,出口受损、成本变化,出口链、进口链,see impact_path,,,A/C,,,,partial,public_data,factor_signal,高,中,中,反倾销影响单品类更明显,股价影响因素全景表v2.0.md,3.24,v2.0
macro_policy_international_factor_ay,宏观流动性与政策国际层,国际贸易,出口管制,event,供应链受阻，国产替代加速,半导体、AI、军工,see impact_path,,,A/C,,,,partial,public_data,factor_signal,高,中,中,利空和利好同时存在,股价影响因素全景表v2.0.md,3.25,v2.0
macro_policy_international_factor_az,宏观流动性与政策国际层,地缘政治,战争 / 冲突,event,能源、黄金、军工、航运波动,军工、能源、航运、黄金,see impact_path,,,A/C,,,,partial,public_data,factor_signal,高,中,中,情绪冲击强，持续性不确定,股价影响因素全景表v2.0.md,3.26,v2.0
macro_policy_international_factor_ba,宏观流动性与政策国际层,海外市场,美股大跌,event,风险偏好下降，外资波动,全市场、科技成长,see impact_path,,,A,,,,partial,public_data,factor_signal,低,高,中,A 股不完全同步,股价影响因素全景表v2.0.md,3.27,v2.0
macro_policy_international_factor_bb,宏观流动性与政策国际层,海外利率,美债收益率上升,event,全球估值压缩，外资流出压力,成长股、新兴市场,see impact_path,,,A,,,,true,public_data,factor_signal,低,高,高,对港股和成长股更敏感,股价影响因素全景表v2.0.md,3.28,v2.0
macro_policy_international_factor_bc,宏观流动性与政策国际层,大宗商品,油价上涨,event,能源受益，下游成本上升,石油、航空、化工、物流,see impact_path,,,A,,,,true,public_data,factor_signal,低,高,高,影响方向分行业,股价影响因素全景表v2.0.md,3.29,v2.0
macro_policy_international_factor_bd,宏观流动性与政策国际层,大宗商品,金价上涨,event,避险情绪、黄金企业受益,黄金、贵金属,see impact_path,,,A,,,,true,public_data,factor_signal,低,高,高,区分美元和实际利率因素,股价影响因素全景表v2.0.md,3.30,v2.0
capital_market_supply_factor_aa,资本市场制度与供需层,IPO 供给,IPO 节奏加快,factor,市场资金被分流，风险偏好下降,全市场、小盘股,see impact_path,,,A/B,,,,partial,public_data,factor_signal,低,中,中,影响更多是心理和资金供给,股价影响因素全景表v2.0.md,4.1,v2.0
capital_market_supply_factor_ab,资本市场制度与供需层,IPO 供给,IPO 收紧,factor,股票供给减少，壳/小盘预期变化,全市场、小盘股,see impact_path,,,A/B,,,,partial,public_data,factor_signal,中,中,中,也可能反映监管趋严,股价影响因素全景表v2.0.md,4.2,v2.0
capital_market_supply_factor_ac,资本市场制度与供需层,再融资,定增 / 配股,factor,股权稀释，资金压力,个股,see impact_path,,,A,,,,true,public_data,factor_signal,中,高,高,募资用途很重要,股价影响因素全景表v2.0.md,4.3,v2.0
capital_market_supply_factor_ad,资本市场制度与供需层,再融资,可转债发行,factor,潜在稀释、融资改善,个股,see impact_path,,,A,,,,partial,public_data,factor_signal,中,中,中,要看转股价格和规模,股价影响因素全景表v2.0.md,4.4,v2.0
capital_market_supply_factor_ae,资本市场制度与供需层,减持,大股东减持,factor,潜在卖压和信心下降,个股,see impact_path,,,A,,,,true,public_data,factor_signal,中,高,高,减持规模和价格位置关键,股价影响因素全景表v2.0.md,4.5,v2.0
capital_market_supply_factor_af,资本市场制度与供需层,解禁,限售股解禁,factor,股票供给增加，卖压预期,个股,see impact_path,,,A,,,,true,public_data,factor_signal,低,高,高,大额解禁常提前反应,股价影响因素全景表v2.0.md,4.6,v2.0
capital_market_supply_factor_ag,资本市场制度与供需层,分红,高分红,factor,股东回报提高，红利资金流入,红利、央国企、银行,see impact_path,,,A,,,,true,public_data,factor_signal,低,高,高,普通价格指数不完整体现分红,股价影响因素全景表v2.0.md,4.7,v2.0
capital_market_supply_factor_ah,资本市场制度与供需层,回购,大规模回购,event,股票供给减少，信心增强,个股,see impact_path,,,A,,,,partial,public_data,factor_signal,中,中,中,回购执行率比公告更重要,股价影响因素全景表v2.0.md,4.8,v2.0
capital_market_supply_factor_ai,资本市场制度与供需层,退市制度,退市趋严,event,壳价值下降，垃圾股风险上升,小盘、绩差股,see impact_path,,,A/C,,,,partial,public_data,risk_filter,高,中,中,会改变市场风格,股价影响因素全景表v2.0.md,4.9,v2.0
capital_market_supply_factor_aj,资本市场制度与供需层,交易制度,涨跌停制度,factor,信息无法一次释放，形成连板/跌停,短线题材、风险股,see impact_path,,,unknown,,,,true,unknown,factor_signal,低,中,高,影响流动性和次日溢价,股价影响因素全景表v2.0.md,4.10,v2.0
capital_market_supply_factor_ak,资本市场制度与供需层,交易制度,T+1,factor,当天买入不能卖出,短线交易,see impact_path,,,unknown,,,,partial,unknown,factor_signal,低,中,中,强化尾盘和次日博弈,股价影响因素全景表v2.0.md,4.11,v2.0
capital_market_supply_factor_al,资本市场制度与供需层,交易制度,做空机制不完善,factor,坏消息反应不充分，泡沫可能延续,全市场,see impact_path,,,unknown,,,,false,unknown,factor_signal,低,低,低,影响市场有效性,股价影响因素全景表v2.0.md,4.12,v2.0
capital_market_supply_factor_am,资本市场制度与供需层,融资融券,融资余额上升,factor,杠杆资金入场，风险偏好提高,两融标的,see impact_path,,,A,,,,true,public_data,factor_signal,低,高,高,过高时变成反向风险,股价影响因素全景表v2.0.md,4.13,v2.0
